,Algorithm,Size,Memory Usage (Peak Bytes)_mean,Memory Usage (Peak Bytes)_std,Insertion CPU Time (s)_mean,Insertion CPU Time (s)_std,Total Insertion Steps_mean,Total Insertion Steps_std,Average Search Steps_mean,Average Search Steps_std,Search CPU Time (s)_mean,Search CPU Time (s)_std,Tree Height_mean,Tree Height_std,Max Search Steps_mean,Max Search Steps_std,Rotation Events_mean,Rotation Events_std,M parameter_mean,M parameter_std,Load Factor_mean,Load Factor_std,Total Collisions_mean,Total Collisions_std,Max Bucket Size_mean,Max Bucket Size_std,Min Bucket Size (non-empty)_mean,Min Bucket Size (non-empty)_std,Empty Buckets_mean,Empty Buckets_std,Std Dev of Bucket Lengths_mean,Std Dev of Bucket Lengths_std
0,Array Linear,50000,2209824.8,854.9451444390472,0.0220000000000001,0.004472135954999411,50000.0,0.0,24586.420703125,560.7726686695943,5.008,0.17767948671695302,,,,,,,,,,,,,,,,,,,,
1,Array Linear,100000,4436090.4,300.52753617599774,0.04799999999999608,0.00447213595500186,100000.0,0.0,50048.2265625,442.7225503387482,10.904,0.33455941176418735,,,,,,,,,,,,,,,,,,,,
2,Array Linear,500000,20359770.4,300.5275361758676,0.25399999999999245,0.011401754250992945,500000.0,0.0,250201.084765625,7697.59939132378,56.61600000000001,2.3874840313602075,,,,,,,,,,,,,,,,,,,,
3,Array Linear,1000000,41232250.4,300.5275361758676,0.5199999999999927,0.007071067811859064,1000000.0,0.0,508603.573046875,7950.821145406983,115.36200000000004,3.6104251827174076,,,,,,,,,,,,,,,,,,,,
4,"Hash Table (M=100, folding)",50000,7574190.8,33279.43604089467,2.2300000000000013,0.08631338250816267,12598240.0,0.0,248.587109375,5.218518390198773,0.01400000000000054,0.005477225575050712,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,549.0,0.0,446.0,0.0,0.0,0.0,21.559220765138985,0.0
5,"Hash Table (M=100, folding)",100000,15217041.6,33258.38067014085,15.122000000000003,0.4366577607234314,50195597.0,0.0,501.5125,13.725067116272744,0.0280000000000086,0.004472135954998684,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1090.0,0.0,922.0,0.0,0.0,0.0,30.19834432547586,0.0
6,"Hash Table (M=100, folding)",500000,76116864.0,0.0,565.574,5.120618126750083,1250960948.0,0.0,2510.665625,82.35784751359986,0.22000000000007275,0.012247448713533443,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5163.0,0.0,4859.0,0.0,0.0,0.0,64.95352184446968,0.0
7,"Hash Table (M=100, folding)",1000000,152446464.0,0.0,2364.3633333333332,3.488729472650135,5002009727.0,0.0,4991.126953125,233.134328955158,0.4566666666669334,0.023094010767564028,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10179.0,0.0,9714.0,0.0,0.0,0.0,100.96801473734143,0.0
8,"Hash Table (M=100, golden_ratio)",50000,7561394.6,345.6961093215065,2.045999999999998,0.024083189157585307,12594543.0,0.0,252.13046875,11.149527046197154,0.01199999999999794,0.004472135954998495,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,549.0,0.0,463.0,0.0,0.0,0.0,19.77017956418201,0.0
9,"Hash Table (M=100, golden_ratio)",100000,15196049.6,103.75355415588612,14.880000000000006,0.6040281450396124,50186457.0,0.0,503.446484375,12.853663169525268,0.032000000000013476,0.0044721359549955075,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1066.0,0.0,926.0,0.0,0.0,0.0,27.00259246813165,0.0
10,"Hash Table (M=100, golden_ratio)",500000,76116936.0,0.0,565.4240000000002,6.271868142746469,1250950517.0,0.0,2479.2984375,62.73077952949744,0.2140000000004874,0.005477225575254259,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5135.0,0.0,4791.0,0.0,0.0,0.0,63.32724532142544,0.0
11,"Hash Table (M=100, golden_ratio)",1000000,152446536.0,0.0,2366.3566666666666,4.9657258616760735,5001982169.0,0.0,4986.815104166667,90.11477112801029,0.4566666666663271,0.005773502690972091,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10283.0,0.0,9718.0,0.0,0.0,0.0,98.20071282837004,0.0
12,"Hash Table (M=100, modulo)",50000,7572041.2,25458.081137430552,2.093999999999999,0.14741099009232758,12597745.0,0.0,251.0015625,3.704456820600472,0.010000000000000281,2.9183486129549125e-15,,,,,,,100.0,0.0,500.0,0.0,49900.0,0.0,555.0,0.0,448.0,0.0,0.0,0.0,21.3283848427395,0.0
13,"Hash Table (M=100, modulo)",100000,15217536.0,50236.24062367738,14.51800000000001,0.2080144225768944,50193460.0,0.0,500.2796875,2.518705730191171,0.03200000000000212,0.010954451150108907,,,,,,,100.0,0.0,1000.0,0.0,99900.0,0.0,1059.0,0.0,927.0,0.0,0.0,0.0,29.48219801846532,0.0
14,"Hash Table (M=100, modulo)",500000,76139344.0,50266.80813419632,561.7060000000004,2.3888763048759127,1250948602.0,0.0,2472.709765625,105.49170051580398,0.2159999999998717,0.0089442719098703,,,,,,,100.0,0.0,5000.0,0.0,499900.0,0.0,5125.0,0.0,4821.0,0.0,0.0,0.0,63.02412236596397,0.0
15,"Hash Table (M=100, modulo)",1000000,152483930.66666666,64894.170256911784,2365.91,6.707003801997038,5001925461.0,0.0,5056.736979166667,117.5797434438377,0.4700000000011641,0.00999999999839929,,,,,,,100.0,0.0,10000.0,0.0,999900.0,0.0,10257.0,0.0,9706.0,0.0,0.0,0.0,92.24543349131164,0.0
