,Algorithm,Size,Memory Usage (Peak Bytes)_mean,Memory Usage (Peak Bytes)_std,Insertion CPU Time (s)_mean,Insertion CPU Time (s)_std,Total Insertion Steps_mean,Total Insertion Steps_std,Average Search Steps_mean,Average Search Steps_std,Search CPU Time (s)_mean,Search CPU Time (s)_std,Tree Height_mean,Tree Height_std,Max Search Steps_mean,Max Search Steps_std,Rotation Events_mean,Rotation Events_std,M parameter_mean,M parameter_std,Load Factor_mean,Load Factor_std,Total Collisions_mean,Total Collisions_std,Max Bucket Size_mean,Max Bucket Size_std,Min Bucket Size (non-empty)_mean,Min Bucket Size (non-empty)_std,Empty Buckets_mean,Empty Buckets_std
0,Array Linear,50000,2209824.8,854.9451444390472,0.0220000000000001,0.004472135954999411,50000.0,0.0,24586.420703125,560.7726686695943,5.008,0.17767948671695302,,,,,,,,,,,,,,,,,,
1,Array Linear,100000,4436090.4,300.52753617599774,0.04799999999999608,0.00447213595500186,100000.0,0.0,50048.2265625,442.7225503387482,10.904,0.33455941176418735,,,,,,,,,,,,,,,,,,
2,Array Linear,500000,20359770.4,300.5275361758676,0.25399999999999245,0.011401754250992945,500000.0,0.0,250201.084765625,7697.59939132378,56.61600000000001,2.3874840313602075,,,,,,,,,,,,,,,,,,
3,Array Linear,1000000,41232250.4,300.5275361758676,0.5199999999999927,0.007071067811859064,1000000.0,0.0,508603.573046875,7950.821145406983,115.36200000000004,3.6104251827174076,,,,,,,,,,,,,,,,,,
4,"Hash Table (M=100, folding)",50000,7563667.6,15671.75321398334,1.597999999999999,0.0855569985448282,,,248.352734375,4.0531858276414585,0.012000000000000042,0.004472135954999278,,,,,,,100.0,0.0,499.98,0.0,49898.0,0.0,555.0,0.0,440.0,0.0,0.0,0.0
5,"Hash Table (M=100, folding)",100000,15194728.0,0.0,9.893999999999998,0.3225368196035787,,,498.919921875,12.189814029993045,0.0300000000000011,0.0,,,,,,,100.0,0.0,999.93,0.0,99893.0,0.0,1060.0,0.0,907.0,0.0,0.0,0.0
6,"Hash Table (M=100, folding)",500000,76093528.0,0.0,360.0299999999999,4.010841557578673,,,2520.77734375,39.182249870448715,0.22000000000011818,0.007071067811859073,,,,,,,100.0,0.0,4998.4,0.0,499740.0,0.0,5156.0,0.0,4816.0,0.0,0.0,0.0
7,"Hash Table (M=100, folding)",1000000,152367688.0,,1538.240000000001,,,,4977.21484375,,0.4500000000007276,,,,,,,,100.0,,9994.55,,999355.0,,10233.0,,9782.0,,0.0,
8,"Hash Table (M=100, golden_ratio)",50000,7558426.6,345.6961093215065,1.3860000000000006,0.03847076812334416,,,242.572265625,4.201213870155635,0.0120000000000011,0.004472135955000697,,,,,,,100.0,0.0,499.98,0.0,49898.0,0.0,550.0,0.0,449.0,0.0,0.0,0.0
9,"Hash Table (M=100, golden_ratio)",100000,15191728.0,0.0,9.367999999999993,0.24365959862070932,,,500.493359375,14.491619226876361,0.0300000000000011,0.0,,,,,,,100.0,0.0,999.93,0.0,99893.0,0.0,1079.0,0.0,910.0,0.0,0.0,0.0
10,"Hash Table (M=100, golden_ratio)",500000,76093600.0,0.0,361.84400000000016,4.877379419319531,,,2499.768359375,48.49195572121815,0.21800000000016545,0.004472135955071787,,,,,,,100.0,0.0,4998.4,0.0,499740.0,0.0,5151.0,0.0,4717.0,0.0,0.0,0.0
11,"Hash Table (M=100, golden_ratio)",1000000,152367760.0,,1538.5200000000004,,,,4781.99609375,,0.4500000000005091,,,,,,,,100.0,,9994.55,,999355.0,,10227.0,,9685.0,,0.0,
12,"Hash Table (M=100, modulo)",50000,7571213.4,25521.13825439606,1.44,0.20037464909513858,,,247.737109375,8.480679668683537,0.01399999999999998,0.005477225575051223,,,,,,,100.0,0.0,499.98,0.0,49898.0,0.0,556.0,0.0,454.0,0.0,0.0,0.0
13,"Hash Table (M=100, modulo)",100000,15218232.0,50266.80813419514,9.542000000000002,0.23080294625502235,,,501.15234375,15.550289588022542,0.03199999999999928,0.00447213595499551,,,,,,,100.0,0.0,999.93,0.0,99893.0,0.0,1064.0,0.0,922.0,0.0,0.0,0.0
14,"Hash Table (M=100, modulo)",500000,76116008.0,50266.80813419632,362.09400000000016,3.165214052793265,,,2508.133984375,72.8511931411338,0.21800000000002906,0.004472135954995549,,,,,,,100.0,0.0,4998.4,0.0,499740.0,0.0,5160.0,0.0,4868.0,0.0,0.0,0.0
15,"Hash Table (M=100, modulo)",1000000,152480088.0,,1496.63,,,,5037.318359375,,0.5,,,,,,,,100.0,,9994.55,,999355.0,,10234.0,,9774.0,,0.0,
16,"Hash Table (M=1000, folding)",50000,7624216.0,0.0,0.7280000000000001,0.024899799195976395,,,122.816796875,2.455073618979557,0.00799999999999874,0.004472135954998875,,,,,,,1000.0,0.0,49.998,0.0,49643.0,0.0,372.0,0.0,1.0,0.0,645.0,0.0
17,"Hash Table (M=1000, folding)",100000,15251372.8,3230.6710138917483,4.173999999999998,0.23575410919006054,,,251.34375,8.719973351849074,0.02200000000000554,0.004472135954997097,,,,,,,1000.0,0.0,99.993,0.0,99633.0,0.0,706.0,0.0,1.0,0.0,640.0,0.0
18,"Hash Table (M=1000, folding)",500000,76235480.0,0.0,172.92600000000013,1.375547163858666,,,1230.21328125,42.624610281586186,0.11000000000003632,3.8047556654103707e-13,,,,,,,1000.0,0.0,499.84,0.0,499466.0,0.0,3479.0,0.0,1.0,0.0,626.0,0.0
19,"Hash Table (M=1000, folding)",1000000,152461992.0,,746.6800000000006,,,,2504.337890625,,0.2399999999997817,,,,,,,,1000.0,,999.455,,999079.0,,6920.0,,1.0,,624.0,
