Size,Iteration,M parameter,Hash Function,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Load Factor,Total Collisions,Max Bucket Size,Min Bucket Size (non-empty),Empty Buckets,Std Dev of Bucket Lengths,Search CPU Time (s),Average Search Steps
50000,0,100,modulo,7617582,2.1999999999999997,12597745,500.0,49900,555,448,0,21.3283848427395,0.010000000000000675,249.748046875
50000,0,100,folding,7559874,2.1799999999999997,12598240,500.0,49900,549,446,0,21.559220765138985,0.010000000000000675,241.6015625
50000,0,100,golden_ratio,7562013,2.04,12594543,500.0,49900,549,463,0,19.770179564182012,0.009999999999999787,247.353515625
50000,0,1000,modulo,7636884,0.28999999999999915,1346146,50.0,49000,71,29,0,6.503229966716539,0.0,25.302734375
50000,0,1000,folding,7624564,0.6900000000000013,4633228,50.0,49627,289,1,627,81.34160067271851,0.009999999999999787,93.3359375
50000,0,1000,golden_ratio,7636444,0.33000000000000007,1346328,50.0,49000,70,31,0,6.531156099803464,0.0,25.3046875
50000,0,5000,modulo,8103036,0.2599999999999998,346451,10.0,45000,22,2,0,2.929231981253789,0.0,5.953125
50000,0,5000,folding,7881588,0.7099999999999991,4633228,10.0,49627,289,1,4627,41.512542682904886,0.0,89.759765625
50000,0,5000,golden_ratio,7987900,0.2400000000000002,347639,10.0,45000,23,1,0,3.009252398852579,0.0,6.103515625
50000,1,100,modulo,7560656,2.3000000000000007,12597745,500.0,49900,555,448,0,21.3283848427395,0.009999999999999787,256.6875
50000,1,100,folding,7559120,2.2500000000000018,12598240,500.0,49900,549,446,0,21.559220765138985,0.019999999999999574,252.556640625
50000,1,100,golden_ratio,7561240,2.0599999999999987,12594543,500.0,49900,549,463,0,19.770179564182012,0.00999999999999801,236.5234375
50000,1,1000,modulo,7636884,0.28999999999999915,1346146,50.0,49000,71,29,0,6.503229966716539,0.0,26.93359375
50000,1,1000,folding,7624564,0.6900000000000013,4633228,50.0,49627,289,1,627,81.34160067271851,0.010000000000001563,94.369140625
50000,1,1000,golden_ratio,7636444,0.3300000000000003,1346328,50.0,49000,70,31,0,6.531156099803464,0.010000000000001563,26.265625
50000,1,5000,modulo,7990868,0.22000000000000242,346451,10.0,45000,22,2,0,2.929231981253789,0.0,6.111328125
50000,1,5000,folding,7881588,0.7000000000000028,4633228,10.0,49627,289,1,4627,41.512542682904886,0.010000000000001563,92.48046875
50000,1,5000,golden_ratio,7987900,0.23999999999999844,347639,10.0,45000,23,1,0,3.009252398852579,0.0,6.16796875
50000,2,100,modulo,7560656,1.9899999999999984,12597745,500.0,49900,555,448,0,21.3283848427395,0.00999999999999801,247.958984375
50000,2,100,folding,7633720,2.1999999999999993,12598240,500.0,49900,549,446,0,21.559220765138985,0.019999999999999574,247.892578125
50000,2,100,golden_ratio,7561240,2.0299999999999976,12594543,500.0,49900,549,463,0,19.770179564182012,0.00999999999999801,264.59375
50000,2,1000,modulo,7636884,0.28999999999999915,1346146,50.0,49000,71,29,0,6.503229966716539,0.0,26.310546875
50000,2,1000,folding,7624564,0.9299999999999997,4633228,50.0,49627,289,1,627,81.34160067271851,0.0,88.525390625
50000,2,1000,golden_ratio,7636444,0.3200000000000003,1346328,50.0,49000,70,31,0,6.531156099803464,0.0,24.314453125
50000,2,5000,modulo,7990868,0.22000000000000242,346451,10.0,45000,22,2,0,2.929231981253789,0.0,6.302734375
50000,2,5000,folding,7881588,0.7000000000000028,4633228,10.0,49627,289,1,4627,41.512542682904886,0.010000000000001563,90.353515625
50000,2,5000,golden_ratio,7987900,0.25,347639,10.0,45000,23,1,0,3.009252398852579,0.0,5.857421875
50000,3,100,modulo,7560656,1.9699999999999989,12597745,500.0,49900,555,448,0,21.3283848427395,0.010000000000005116,247.986328125
50000,3,100,folding,7559120,2.1499999999999986,12598240,500.0,49900,549,446,0,21.559220765138985,0.00999999999999801,254.744140625
50000,3,100,golden_ratio,7561240,2.019999999999996,12594543,500.0,49900,549,463,0,19.770179564182012,0.00999999999999801,260.7890625
