Size,Iteration,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Average Search Steps,Search CPU Time (s)
50000,0,2211284,0.029999999999999805,50000,24872.552734375,5.22
50000,1,2209716,0.020000000000000462,50000,24024.3359375,4.829999999999999
50000,2,2209716,0.02000000000000135,50000,24646.66796875,5.050000000000001
50000,3,2209204,0.019999999999999574,50000,24048.84375,4.82
50000,4,2209204,0.019999999999999574,50000,25339.703125,5.119999999999997
100000,0,4436628,0.04999999999999716,100000,50198.44140625,11.370000000000001
100000,1,4435956,0.04999999999999716,100000,49327.66796875,10.500000000000005
100000,2,4435956,0.04999999999999716,100000,50267.3125,10.68
100000,3,4435956,0.03999999999999204,100000,50481.298828125,11.029999999999996
100000,4,4435956,0.04999999999999716,100000,49966.412109375,10.939999999999998
500000,0,20360308,0.25,500000,261545.755859375,59.87000000000001
500000,1,20359636,0.2599999999999909,500000,254319.67578125,58.39000000000001
500000,2,20359636,0.23999999999998067,500000,242476.8515625,54.65999999999999
500000,3,20359636,0.25,500000,245399.44140625,55.58999999999998
500000,4,20359636,0.2699999999999909,500000,247263.69921875,54.57000000000005
1000000,0,41232788,0.51,1000000,519001.482421875,121.02000000000004
1000000,1,41232116,0.5199999999999999,1000000,514705.5625,116.73000000000002
1000000,2,41232116,0.5299999999999818,1000000,500839.240234375,111.95000000000005
1000000,3,41232116,0.5199999999999909,1000000,502106.05859375,113.35000000000002
1000000,4,41232116,0.5199999999999909,1000000,506365.521484375,113.75999999999999
